cust_id,acc_name,acc_id
989276738,Roadside Assistance 2nd Year + 3rd Year,26
989276738,Extended Warranty - 4th Year + 5th Year,23
926844129,Roadside Assistance 2nd Year + 3rd Year,26
926844129,Extended Warranty - 4th Year + 5th Year,23
488160202,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
380975698,Roadside Assistance 2nd Year + 3rd Year,26
804710551,Roadside Assistance 2nd Year + 3rd Year,26
287968884,Large Engine Guard,29
287968884,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
876720743,Roadside Assistance 2nd Year + 3rd Year,26
876720743,Extended Warranty - 4th Year + 5th Year,23
374899901,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
667726025,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
766914025,Extended Warranty - 4th Year + 5th Year,23
312027871,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
337125676,Aluminium Sumpguard,14
337125676,Machined Bar End Finisher Kit,15
337125676,Intake Cover Kit,16
337125676,"Heel Guard, Pair",30
337125676,Rsu Finisher Kit,32
337125676,Touring Mirror Kit,18
337125676,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
179519738,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
756016545,Roadside Assistance 2nd Year + 3rd Year,26
752625147,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
281911373,Bar End Mirror Kit,28
281911373,Compact Engine Guard,24
281911373,Machined Swingarm Bobbin Kit,13
281911373,Machined Bar End Finisher Kit,15
281911373,Rsu Finisher Kit,32
281911373,Silver AMC,27
281911373,Extended Warranty - 4th Year + 5th Year,23
714396536,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
758119588,Platinum AMC,22
758119588,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
691289625,Roadside Assistance 2nd Year + 3rd Year,26
428627297,Extended Warranty - 4th Year,31
105007742,Compact Engine Guard,24
105007742,Short Flyscreen Kit,25
105007742,Aluminium Sumpguard,14
105007742,Roadside Assistance 2nd Year + 3rd Year,26
105007742,Silver AMC,27
105007742,Extended Warranty - 4th Year + 5th Year,23
824303158,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
785122823,Roadside Assistance 2nd Year + 3rd Year,26
785122823,Gold AMC,20
785122823,Extended Warranty - 4th Year + 5th Year,23
405637939,Compact Engine Guard,24
405637939,Short Flyscreen Kit,25
405637939,Aluminium Sumpguard,14
405637939,Roadside Assistance 2nd Year + 3rd Year,26
405637939,Silver AMC,27
405637939,Extended Warranty - 4th Year + 5th Year,23
868997304,Single Seat Cowl,35
868997304,"Single Seat, Rider",34
868997304,Roadside Assistance 2nd Year + 3rd Year,26
868997304,Silver AMC,27
868997304,Extended Warranty - 4th Year + 5th Year,23
568285449,Roadside Assistance 2nd Year + 3rd Year,26
568285449,Extended Warranty - 4th Year + 5th Year,23
921388529,Roadside Assistance 2nd Year + 3rd Year,26
921388529,Extended Warranty - 4th Year + 5th Year,23
177517323,Gold AMC,20
177517323,Extended Warranty - 4th Year + 5th Year,23
542266273,Touring Mirror Kit,18
542266273,Roadside Assistance 2nd Year + 3rd Year,26
542266273,Silver AMC,27
542266273,Extended Warranty - 4th Year + 5th Year,23
725727995,Bar End Mirror Kit,28
725727995,Compact Engine Guard,24
725727995,Short Flyscreen Kit,25
725727995,Machined Swingarm Bobbin Kit,13
725727995,Aluminium Sumpguard,14
725727995,Machined Bar End Finisher Kit,15
725727995,Intake Cover Kit,16
725727995,"Heel Guard, Pair",30
725727995,Rsu Finisher Kit,32
725727995,Roadside Assistance 2nd Year + 3rd Year,26
725727995,Silver AMC,27
725727995,Extended Warranty - 4th Year + 5th Year,23
742598187,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
148085409,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
857470231,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
898228540,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
204131339,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
743023724,Roadside Assistance 2nd Year + 3rd Year,26
741268910,Roadside Assistance 2nd Year + 3rd Year,26
741268910,Gold AMC,20
741268910,Extended Warranty - 4th Year,31
526119952,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
502378398,Silver AMC,27
336829646,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
921058530,Extended Warranty - 4th Year,31
452069697,Handlebar Brace Pad,9
452069697,Large Engine Guard,29
452069697,Tall Flyscreen Kit,12
452069697,Machined Swingarm Bobbin Kit,13
452069697,Aluminium Sumpguard,14
452069697,Rsu Finisher Kit,32
452069697,Machined Bar End Finisher Kit,15
325862205,Handlebar Brace Pad,9
325862205,Large Engine Guard,29
325862205,Tall Flyscreen Kit,12
325862205,Aluminium Sumpguard,14
325862205,Intake Cover Kit,16
325862205,"Heel Guard, Right Hand Side",17
325862205,Rsu Finisher Kit,32
325862205,Machined Bar End Finisher Kit,15
377217453,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
425341080,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
363491396,Roadside Assistance 2nd Year + 3rd Year,26
363491396,Extended Warranty - 4th Year + 5th Year,23
902221384,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
362416749,Roadside Assistance 2nd Year + 3rd Year,26
748755861,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
800897149,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
232765173,Extended Warranty - 4th Year + 5th Year,23
274013621,Large Engine Guard,29
274013621,Tall Flyscreen Kit,12
274013621,Machined Swingarm Bobbin Kit,13
274013621,Aluminium Sumpguard,14
615302984,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
950949599,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
762060059,Extended Warranty - 4th Year + 5th Year,23
162434127,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
930383471,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
641757181,Roadside Assistance 2nd Year + 3rd Year,26
240739739,Extended Warranty - 4th Year + 5th Year,23
552280533,Extended Warranty - 4th Year + 5th Year,23
163513139,Extended Warranty - 4th Year + 5th Year,23
904053799,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
379004777,Extended Warranty - 4th Year + 5th Year,23
603432942,Extended Warranty - 4th Year + 5th Year,23
565315173,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
316067822,Compact Engine Guard,24
316067822,Short Flyscreen Kit,25
316067822,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
949584237,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
123702194,Handlebar Brace Pad,9
123702194,Tall Flyscreen Kit,12
123702194,Machined Swingarm Bobbin Kit,13
123702194,Aluminium Sumpguard,14
123702194,Large Engine Guard,29
123702194,Machined Bar End Finisher Kit,15
123702194,Intake Cover Kit,16
123702194,"Heel Guard, Right Hand Side",17
123702194,Rsu Finisher Kit,32
123702194,Touring Mirror Kit,18
123702194,Gold AMC,20
123702194,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
366484658,Extended Warranty - 4th Year,31
573032289,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
361505153,Extended Warranty - 4th Year + 5th Year,23
444691600,Extended Warranty - 4th Year + 5th Year,23
990419217,Extended Warranty - 4th Year + 5th Year,23
394500273,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
688412228,Extended Warranty - 4th Year + 5th Year,23
538220363,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
461474803,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
207586723,Extended Warranty - 4th Year + 5th Year,23
436016538,Extended Warranty - 4th Year + 5th Year,23
829475969,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
547780085,Roadside Assistance 2nd Year + 3rd Year,26
544967341,Compact Engine Guard,24
544967341,Touring Mirror Kit,18
674624555,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
573228386,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
670501021,Handlebar Brace Pad,9
670501021,Short Flyscreen Kit,25
670501021,Machined Swingarm Bobbin Kit,13
670501021,Touring Mirror Kit,18
364874215,Handlebar Brace Pad,9
364874215,Large Engine Guard,29
364874215,Tall Flyscreen Kit,12
364874215,Aluminium Sumpguard,14
548161808,Aluminium Sumpguard,14
945326737,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
607444896,Extended Warranty - 4th Year,31
519146843,Aluminium Sumpguard,14
575700372,Aluminium Sumpguard,14
575700372,Extended Warranty - 4th Year,31
502933574,Tall Flyscreen Kit,12
502933574,Aluminium Sumpguard,14
502933574,Dual Seat Cowl,33
449537110,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
426325205,Bar End Mirror Kit,28
426325205,Compact Engine Guard,24
426325205,Tall Flyscreen Kit,12
426325205,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
566063637,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
345278930,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
848923899,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
961689223,Roadside Assistance 2nd Year + 3rd Year,26
115963532,Roadside Assistance 2nd Year + 3rd Year,26
115963532,Extended Warranty - 4th Year + 5th Year,23
835480577,Compact Engine Guard,24
835480577,Short Flyscreen Kit,25
835480577,Aluminium Sumpguard,14
122709839,Compact Engine Guard,24
122709839,Short Flyscreen Kit,25
122709839,Aluminium Sumpguard,14
263958115,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
886886342,Roadside Assistance 2nd Year + 3rd Year,26
886886342,Extended Warranty - 4th Year + 5th Year,23
555935153,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
952278267,Extended Warranty - 4th Year,31
118789276,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
376361911,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
705939970,Roadside Assistance 2nd Year + 3rd Year,26
772600333,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
688682506,Roadside Assistance 2nd Year + 3rd Year,26
688682506,Gold AMC,20
688682506,Extended Warranty - 4th Year + 5th Year,23
819165945,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
526398227,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
401902452,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
960791503,Touring Dual Seat,36
960791503,Tall Flyscreen Kit,12
960791503,Gold AMC,20
960791503,Extended Warranty - 4th Year + 5th Year,23
309229464,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
878884680,Aluminium Sumpguard,14
819336690,Aluminium Sumpguard,14
899755197,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
972215617,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
149895525,Roadside Assistance 2nd Year + 3rd Year,26
273314816,Extended Warranty - 4th Year,31
762469498,Extended Warranty - 4th Year + 5th Year,23
172116081,"Deluxe Footpeg Kit, Black (pillion Position)",37
172116081,"Deluxe Footpeg Kit, Black (rider Position)",38
172116081,"Sumpguard, Silver",39
172116081,"Silencer Assy, Slv, W/straight Cut, Slv",40
172116081,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
563122646,Handlebar Brace Pad,9
563122646,Compact Engine Guard,24
563122646,Tall Flyscreen Kit,12
563122646,Aluminium Sumpguard,14
563122646,Extended Warranty - 4th Year + 5th Year,23
916865575,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
280966852,Compact Engine Guard,24
280966852,Tall Flyscreen Kit,12
280966852,Aluminium Sumpguard,14
280966852,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
267606532,Extended Warranty - 4th Year + 5th Year,23
859762328,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
221248514,Extended Warranty - 4th Year + 5th Year,23
432664821,Handlebar Brace Pad,9
432664821,Compact Engine Guard,24
432664821,Tall Flyscreen Kit,12
432664821,Aluminium Sumpguard,14
432664821,Extended Warranty - 4th Year + 5th Year,23
975166954,Handlebar Brace Pad,9
975166954,Compact Engine Guard,24
975166954,Aluminium Sumpguard,14
975166954,Intake Cover Kit,16
975166954,"Heel Guard, Right Hand Side",17
975166954,Touring Mirror Kit,18
972267972,Touring Dual Seat,36
576861187,Large Engine Guard,29
576861187,Tall Flyscreen Kit,12
576861187,Machined Swingarm Bobbin Kit,13
576861187,Aluminium Sumpguard,14
576861187,"Heel Guard, Right Hand Side",17
576861187,Rsu Finisher Kit,32
576861187,Machined Bar End Finisher Kit,15
576861187,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
515392280,"Silencer Assy, Slv, W/straight Cut, Slv",40
515392280,"Sumpguard, Silver",39
515392280,Tinted Flyscreen,41
515392280,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
645481969,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
209373658,Roadside Assistance 2nd Year + 3rd Year,26
591979863,Extended Warranty - 4th Year + 5th Year,23
170432453,Extended Warranty - 4th Year + 5th Year,23
190658063,Extended Warranty - 4th Year,31
360701024,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
309126164,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
552652377,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
888180722,Extended Warranty - 4th Year + 5th Year,23
805567713,Extended Warranty - 4th Year + 5th Year,23
893999603,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
919755407,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
339765507,Extended Warranty - 4th Year + 5th Year,23
232863011,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
671696421,Extended Warranty - 4th Year + 5th Year,23
144087113,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
278830269,Roadside Assistance 2nd Year + 3rd Year,26
278830269,Extended Warranty - 4th Year,31
245788365,Extended Warranty - 4th Year,31
770838440,Roadside Assistance 2nd Year + 3rd Year,26
263201544,Handlebar Brace Pad,9
263201544,Short Flyscreen Kit,25
263201544,Machined Swingarm Bobbin Kit,13
263201544,Aluminium Sumpguard,14
263201544,Large Engine Guard,29
263201544,Machined Bar End Finisher Kit,15
263201544,Intake Cover Kit,16
263201544,"Heel Guard, Right Hand Side",17
263201544,Touring Mirror Kit,18
263201544,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
896150934,Extended Warranty + Roadside Assistance - 4th Year + 5th Year,21
439861032,Touring Dual Seat,36
439861032,Compact Engine Guard,24
439861032,Short Flyscreen Kit,25
